Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199309,3.4383,2.863,3.0735,-0.4825,0.7423,0.8487
199310,5.2499,3.0062,5.4785,0.3626,1.0509,0.6374
199311,-3.0369,-1.5494,-2.1974,-3.2032,-1.9412,-1.6721
199312,-0.6553,2.2635,2.0141,2.826,3.9725,2.7925
199401,7.3532,3.339,4.0495,3.835,2.3943,3.2878
199402,-1.0885,0.9336,0.0129,-3.4213,-1.7373,-0.7384
199403,-4.7743,-4.0294,-5.2892,-4.8091,-4.5926,-3.9901
199404,-3.0827,-0.3758,-0.8,0.269,0.9683,0.6684
199405,-0.3756,-0.5117,-0.7223,-1.1637,-0.4563,1.5715
199406,-4.5616,-2.1716,-3.4952,-2.1322,-1.7103,-3.823
199407,0.7652,1.2013,1.718,4.7275,3.3978,2.8274
199408,3.4303,4.0597,4.3596,5.6965,4.6741,5.0548
199409,1.3997,1.4637,1.2174,-1.8473,-2.3254,-1.8618
199410,-0.6245,0.3694,0.7275,0.1922,1.3366,1.4912
199411,-4.6625,-3.0741,-3.718,-5.1089,-4.098,-4.3495
199412,-3.6605,0.0665,-0.8814,2.0654,1.5967,0.9837
199501,4.4249,2.2699,3.155,0.657,1.6226,2.724
199502,2.3657,3.4242,3.038,4.3708,4.6558,5.3807
199503,1.8992,1.3113,1.5314,2.4151,2.4875,2.4507
199504,2.7754,2.3056,2.2142,2.2903,1.4987,1.5866
199505,1.9862,1.3576,1.8842,1.6301,3.4338,3.4714
199506,6.9572,4.678,5.0466,4.2048,3.0875,3.2232
199507,5.6692,5.6159,7.645,5.868,4.3923,5.3257
199508,5.1499,2.5331,2.9556,1.8125,1.0944,1.3341
199509,3.3762,1.9125,2.3897,1.726,2.7343,2.915
199510,-5.7928,-3.8381,-4.3957,-1.744,-2.4629,-1.3702
199511,-0.0138,2.1814,2.5025,5.208,5.195,4.7054
199512,0.4834,0.8152,0.4873,0.6802,1.346,0.2075
199601,5.0492,1.3599,0.6797,1.4366,1.7046,1.5633
199602,4.8519,2.5374,3.5816,1.6792,2.2808,3.452
