Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
198709,-1.887,-1.7136,-1.8826,-0.8073,-2.0989,-2.7431
198710,-32.0383,-27.4446,-29.8943,-22.9989,-20.4777,-21.6887
198711,-5.4628,-3.1152,-6.4539,-5.6302,-7.6111,-8.7643
198712,5.3645,7.1031,9.4907,5.6753,7.3612,7.6114
198801,4.4808,5.0967,2.6899,4.8843,4.6603,4.5231
198802,6.8494,8.1366,9.133,3.7499,4.5169,5.2237
198803,4.2432,2.5827,4.6363,-2.1386,-2.5178,-3.0939
198804,2.3002,1.8057,1.7786,-0.0031,1.7845,0.1226
198805,-1.8258,-1.2863,-2.6028,1.2616,0.6808,0.5109
198806,5.8384,7.5793,7.544,4.0567,4.785,5.3362
198807,-0.6598,-1.2474,-1.1052,-0.2044,-0.5892,-1.0297
198808,-3.0945,-2.0894,-2.7785,-1.0369,-3.0514,-2.8627
198809,1.7294,3.2589,2.9909,3.2794,3.1978,5.4652
198810,-1.5029,-0.0973,-0.7705,0.5145,2.4861,2.5701
198811,-3.167,-2.4576,-3.5501,-1.4423,-1.4743,-1.5775
198812,3.9629,3.6258,3.6801,0.9384,1.8744,2.2867
198901,6.0181,4.3354,3.9093,6.9439,6.4954,7.2181
198902,0.7782,1.1516,0.3632,-0.8393,-2.4661,-1.9861
198903,3.2392,2.8664,2.7399,2.4781,1.3421,2.9666
198904,3.9942,4.6646,5.2548,5.3087,4.8105,5.5207
198905,4.1081,3.8966,4.8658,4.2655,4.0245,4.2631
198906,-2.5335,-0.8924,-1.828,-0.4999,0.0448,-0.9691
198907,3.5571,4.5926,4.397,6.4983,7.9572,9.4697
198908,2.1744,2.1408,3.6465,2.6909,1.7672,2.2212
198909,-0.3097,0.6393,1.0624,-0.4448,-0.6945,0.5474
198910,-5.9308,-5.3604,-5.4453,-2.5554,-1.9926,-2.9485
198911,0.288,1.0682,0.4016,3.0151,2.4516,0.9321
198912,-0.2835,0.0917,-0.0388,1.6757,3.2844,1.0988
199001,-7.7915,-8.0573,-9.6267,-6.4628,-6.8158,-7.354
199002,2.9412,2.5811,3.0111,1.8297,1.4717,1.3519
199003,2.9412,4.0111,4.7858,0.8063,1.8875,3.2402
199004,-3.3178,-3.201,-3.1453,-4.7041,-2.8369,-1.7034
199005,6.1248,7.1604,7.7869,8.3803,8.7693,10.2241
199006,1.5593,0.8364,-0.2311,0.4337,-1.355,-0.1182
199007,-4.3035,-3.3932,-4.2753,-0.7996,0.1218,-1.7084
199008,-13.5907,-11.7114,-14.3297,-9.1756,-8.6926,-9.3189
199009,-9.175,-7.9756,-10.3117,-6.8299,-3.7126,-5.7597
199010,-7.7737,-4.6767,-5.0832,-2.9073,-0.7236,0.2438
199011,5.4321,7.7474,8.1173,8.2749,6.1619,7.1887
199012,1.3315,3.9524,5.3995,1.948,2.4823,3.7587
199101,7.9851,8.6161,9.5361,4.348,4.0685,5.7154
199102,12.4209,9.6515,11.3013,7.6429,6.1307,8.1767
199103,7.5679,6.1319,6.407,3.2492,1.6041,3.661
199104,-0.1491,1.0011,1.108,0.304,0.01,0.3743
199105,3.1301,4.0754,5.2136,2.8072,3.3176,5.0588
199106,-5.6252,-4.055,-3.5703,-5.4277,-4.465,-4.3317
199107,3.2711,3.6385,4.6419,3.8124,4.2071,5.3744
199108,4.7319,2.9544,4.2422,1.4812,1.3223,3.8039
199109,1.289,0.2861,-0.2075,-0.1726,-0.2205,-2.3235
199110,4.2483,2.234,2.1153,3.1068,1.223,1.4374
199111,-6.079,-3.5555,-4.3627,-3.0882,-4.4887,-2.9868
199112,7.5131,7.9762,9.954,8.1697,9.5526,13.3409
199201,9.896,7.1377,8.1699,-0.5826,-1.5615,-1.5036
199202,2.2974,2.3236,4.2413,2.2043,1.2505,0.836
199203,-3.8866,-1.988,-3.8889,-1.9493,-2.0115,-2.196
199204,-5.6624,-2.0841,-2.6484,1.1301,3.7231,1.5523
199205,1.5933,0.885,-0.8922,0.3027,0.5929,0.7463
199206,-4.7427,-3.4634,-4.455,-2.0587,-0.5657,-2.4563
199207,2.5513,3.6029,3.9179,3.0782,4.5003,4.2234
199208,-5.4094,-2.3482,-1.4012,-4.8448,-2.0467,-1.361
199209,0.0256,2.4239,3.0942,1.2023,0.9127,1.4854
199210,2.5467,2.835,4.4571,1.0229,-0.4143,1.8452
199211,8.7189,7.4487,8.1949,5.4502,2.2701,4.4987
199212,2.5789,3.7946,3.5293,3.6392,0.8995,1.6052
199301,2.7568,3.7468,3.5969,4.0405,0.8879,-0.0715
199302,-3.8006,-1.5897,-2.5892,1.5146,2.8463,-0.5822
199303,1.605,3.0119,3.4568,4.3697,2.5897,1.8862
199304,-2.414,-2.8993,-3.8167,1.034,-1.2659,-4.703
199305,5.5143,4.0987,5.0566,2.9236,2.1859,3.383
199306,1.0091,0.4495,1.1706,2.2359,0.0734,0.3045
199307,0.2103,1.1342,0.8078,2.5527,0.9465,-2.2727
199308,4.6027,4.0378,4.1787,5.2936,3.3663,3.5397
199309,2.9946,2.0979,3.2711,-1.2636,-0.0021,-0.1623
199310,4.3109,1.5657,3.1168,0.6176,1.3277,1.7059
199311,-3.6587,-2.2053,-2.6777,-2.8204,-1.8295,-0.3542
199312,1.4224,4.159,3.7863,1.6537,2.5574,0.8545
199401,4.29,2.5179,2.0886,4.9059,3.1171,2.5026
199402,-1.7868,0.3983,0.6428,-4.5384,-2.7176,-1.9484
199403,-6.187,-5.0037,-5.3235,-4.6624,-4.0816,-4.2682
199404,-0.8982,0.6949,0.2707,0.6758,1.3399,1.3042
199405,-1.5153,-1.4943,-1.613,0.3525,0.6086,2.2403
199406,-4.7034,-2.7543,-2.968,-3.2049,-2.1347,-2.8162
199407,1.4994,1.3127,2.1955,5.1553,3.5922,2.7318
199408,5.1351,5.4014,6.0264,4.5454,3.5407,4.6191
199409,-0.2115,0.3279,0.5531,-2.1733,-2.8317,-2.0583
199410,-0.8668,0.2601,0.076,2.4366,2.1087,2.0773
199411,-4.23,-3.0775,-3.761,-4.1606,-3.9987,-3.1009
199412,-0.146,2.2679,1.7063,1.9811,2.0127,0.6963
199501,-0.2128,-0.6051,0.1114,2.2687,1.2375,3.6385
199502,2.9858,4.3524,3.5055,3.3069,4.6223,3.8788
199503,2.9033,1.5036,1.9487,2.9817,2.7358,2.6564
199504,2.6122,2.4261,1.3823,2.9275,2.0391,2.968
199505,2.0379,1.0317,2.0515,2.632,3.8865,4.0231
199506,6.765,5.2054,5.0968,2.699,1.9551,3.2167
199507,5.5724,6.0059,7.432,4.3539,3.8079,3.7781
199508,3.6397,2.0826,2.4888,2.6059,-0.4286,1.0863
199509,2.5002,1.4456,2.2685,2.5859,2.7768,5.3211
199510,-6.1251,-4.4017,-4.1047,-1.35,-1.9785,0.5917
199511,3.7972,2.977,4.0058,5.6346,5.2089,3.7772
199512,3.6228,1.0395,1.2964,0.9371,2.1489,1.1423
199601,1.5191,-0.4572,-0.1451,2.0842,3.0453,3.2619
